epoch,clean_acc,clean_loss,poisoned_acc,poisoned_loss
0,0.27,2.0914731494154033,0.258,2.2087010628880024
1,0.3824,1.9039749006112925,0.1816,2.298671688134678
2,0.4686,1.734951149541349,0.1438,2.461746272187644
3,0.5258,1.5737422952255882,0.1374,2.656977774617009
4,0.5632,1.4320409648334638,0.1262,2.8790472962985785
5,0.5875,1.3151367712325561,0.1205,3.116743274390126
6,0.6037,1.224889295550581,0.1166,3.3563957960841755
7,0.6169,1.1537955887020586,0.114,3.5982741052731155
8,0.627,1.0972249328899688,0.115,3.8436609198110174
9,0.6392,1.0459759597199412,0.1246,3.352598369311982
10,0.6512,1.0104590412526846,0.138,3.0082569762159843
11,0.6628,0.9797416578847379,0.144,2.8352702585652994
12,0.6751,0.9473661601352996,0.1592,2.658506869888915
13,0.6848,0.9186550148378927,0.1839,2.489063131923493
14,0.6953,0.8976292981507298,0.2261,2.253631735762087
15,0.7033,0.8760247566639044,0.2689,2.103653382950317
16,0.712,0.854334870466409,0.3264,1.884797274114225
17,0.7152,0.8388974946527816,0.4032,1.7062963521518646
18,0.7187,0.8255838107186765,0.4808,1.4904717424045355
19,0.7261,0.8039049617589091,0.5308,1.3522735702724884
20,0.7264,0.7959157896879763,0.6109,1.1324922311039398
21,0.7303,0.7872257093651988,0.6631,0.9857075520026417
22,0.7362,0.774067402552492,0.6942,0.9178046344187313
23,0.7426,0.7623367867530725,0.6953,0.9228883890298228
24,0.7418,0.7569765777062303,0.7061,0.8804281287299939
25,0.7465,0.7475817421564279,0.7388,0.7975784887711461
26,0.7481,0.7372857197976341,0.737,0.8188053617081322
27,0.7484,0.7286589016167881,0.7441,0.8131351986060888
28,0.7523,0.7206352227412093,0.7494,0.815269115729073
29,0.7537,0.7114489862141898,0.761,0.779263656645918
30,0.7579,0.7051485092304766,0.7676,0.7631581680843244
31,0.76,0.7016768068456041,0.7533,0.8110086415617611
32,0.7588,0.6989565848732908,0.771,0.7572953210661586
33,0.7612,0.6897390986593387,0.7729,0.7478815903678869
34,0.7615,0.6823800881259358,0.7781,0.7276388368667505
35,0.766,0.6795847134087414,0.7855,0.7128703552789201
36,0.7669,0.6738568569619816,0.787,0.7057443182118023
37,0.7678,0.6719046909207353,0.7927,0.6906991620033313
38,0.7695,0.6678285812036678,0.7859,0.7199499596136446
39,0.7699,0.6661568106458591,0.7949,0.6912130861998366
