epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.117,2.299767920765252,0.4987,2.2298234103205865
1,0.1651,2.285901935717549,0.4976,2.223503155449328
2,0.2397,2.2680272187668677,0.3999,2.224677732577339
3,0.2956,2.2440185181249066,0.3176,2.2288860010262876
4,0.3348,2.216005941549429,0.2689,2.236960724138985
5,0.3693,2.184334569083997,0.2292,2.2473913716812866
6,0.3979,2.152693299820629,0.2,2.258722463735757
7,0.4171,2.120842613351231,0.1772,2.2691736625025447
8,0.4324,2.093030934516614,0.1581,2.2802586334581956
9,0.4513,2.067273928715398,0.1473,2.2888408964053513
10,0.4649,2.0453186827345777,0.1347,2.298277566989009
11,0.4793,2.0261313568669768,0.1266,2.304691536357989
12,0.4913,2.0093720789534597,0.1218,2.3080586823411644
13,0.5007,1.9934020160486141,0.1237,2.3085463229840557
14,0.5129,1.9800632719795543,0.123,2.3115887801868085
15,0.522,1.9670829433983508,0.1222,2.3145486356351324
16,0.5338,1.9552613900492366,0.1191,2.3176156682328295
17,0.5438,1.9454211804051749,0.1192,2.3181639883084038
18,0.5514,1.9357792302823296,0.1166,2.322058202359623
