epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.2477,0.2477,0.2477,0.2477,2.295389785888089
1,0.7493,0.7493,0.7493,0.7493,2.257693479015569
2,0.7875,0.7875,0.7875,0.7875,2.1670832876946515
3,0.7973,0.7973,0.7973,0.7973,2.0268585218745434
4,0.8108,0.8108,0.8108,0.8108,1.8842535117629227
5,0.8205,0.8205,0.8205,0.8204999999999999,1.7832568397947177
6,0.8298,0.8298,0.8298,0.8298,1.7205735946157177
7,0.835,0.835,0.835,0.835,1.6808797272906941
8,0.8392,0.8392,0.8392,0.8392,1.6562466363238681
9,0.8435,0.8435,0.8435,0.8435,1.637508066596499
10,0.8578,0.8578,0.8578,0.8578,1.6179601386853844
11,0.8777,0.8777,0.8777,0.8777,1.5976141144515603
12,0.8985,0.8985,0.8985,0.8985,1.5791854121882445
13,0.9131,0.9131,0.9131,0.9131,1.5633527716253972
14,0.9221,0.9221,0.9221,0.9221,1.5516962033168527
15,0.9284,0.9284,0.9284,0.9284,1.542497369134502
16,0.9338,0.9338,0.9338,0.9338,1.5350706820275373
17,0.9381,0.9381,0.9381,0.9381,1.5293905583156902
18,0.9417,0.9417,0.9417,0.9417,1.525448352667936
19,0.9455,0.9455,0.9455,0.9455,1.5208028296756138
