epoch,test_acc,test_loss
0,0.6692,2.2604286807357887
1,0.7592,2.102952320864246
2,0.7665,1.8942007927378273
3,0.8017,1.7591715246249156
4,0.8537,1.6813233992096726
5,0.884,1.637478504970575
6,0.898,1.6116557493331327
7,0.9101,1.5901046900232887
8,0.9203,1.5769629364560365
9,0.9271,1.5640576265420123
10,0.9317,1.5550665392237863
11,0.9363,1.5479037290925433
12,0.9391,1.5440209428216243
13,0.9417,1.5389043700163532
14,0.9455,1.5322060304082883
15,0.9491,1.5271208939278962
16,0.951,1.5251711971440893
17,0.9524,1.5212976150451951
18,0.9557,1.5160670880299465
19,0.9575,1.5135313515450544
