epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.2616,2.0108258343352294,0.1765,2.279122170929711
1,0.3355,1.805187427959503,0.091,2.8181492954778213
2,0.3738,1.6955625664311857,0.0891,3.135180416960305
3,0.3973,1.6310975041252356,0.0706,3.421802312802202
4,0.4182,1.5827919621817983,0.1279,2.961445909719498
5,0.4415,1.5432030217716108,0.0933,3.0020682392790676
6,0.4523,1.4951965477519904,0.1071,2.9932400746086536
7,0.4698,1.4668595668987725,0.1049,3.056857176101246
8,0.4822,1.4291402969878322,0.103,2.9430211184504693
9,0.4914,1.4172787946253158,0.1064,3.123271623739419
10,0.5054,1.3931148564472746,0.0922,3.378700640254889
11,0.5245,1.345951762062292,0.125,3.060329425830049
12,0.5141,1.367222031655784,0.089,3.2878335824789713
13,0.5202,1.354682903701124,0.0825,3.2980528289136797
14,0.5336,1.3031347868160699,0.1178,3.184436981670392
15,0.5395,1.294445350337714,0.1093,3.136101731096213
16,0.537,1.2901684900823112,0.1578,2.7062331514236644
17,0.5486,1.276941467588321,0.1019,3.354392329724833
18,0.5512,1.2752503229025454,0.1108,3.178212441575413
19,0.5562,1.2684691030377397,0.1248,2.5012596601876207
20,0.5589,1.2442558175458696,0.1532,2.3500772733657884
21,0.5676,1.2397584155344734,0.1675,2.2350016375319264
22,0.5631,1.229612163271005,0.2262,2.0298564715888174
23,0.5691,1.2126630784604495,0.1987,2.1371858557954
24,0.5759,1.19548782506309,0.2337,1.9861022900468626
25,0.5776,1.1953385121906146,0.3234,1.7039493071004606
26,0.5796,1.1835957453273738,0.382,1.5649733124449612
27,0.5743,1.1935193034025808,0.4055,1.5318188267393995
28,0.5783,1.1895309905655467,0.5214,1.2596117240933185
29,0.5874,1.1617988532724473,0.6405,0.952409983252565
