epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1,,0.0,
1,0.455,1.568321352568678,0.1048,3.033582432963216
2,0.4819,1.464717376155975,0.0913,4.015800049510627
3,0.5186,1.3445565588177202,0.0977,4.072733280376886
4,0.551,1.2669993621853595,0.1002,4.268998614515359
5,0.5731,1.2110629506385364,0.1033,4.437811749430891
6,0.5861,1.162952501362505,0.1074,4.548964108902807
7,0.6029,1.1213154916565258,0.1064,4.722453243054521
8,0.6169,1.0826723375640357,0.1047,4.7995761088289015
9,0.6205,1.1102528337853403,0.1697,2.5630295375665537
10,0.638,1.0287769307343724,0.1076,3.4256108081378875
11,0.6374,1.0540463579729342,0.1661,2.3610285269185756
12,0.6583,0.985595154686096,0.0968,3.371351823258324
13,0.6549,1.0031729833767438,0.1591,2.4780504596880832
14,0.6779,0.9457387444310295,0.1125,3.1183070671824984
15,0.6769,0.9509250667338935,0.1324,2.69784718352004
16,0.6842,0.9234343402492352,0.1198,3.011113674876789
17,0.687,0.926306950017667,0.1353,2.626298674379294
18,0.6957,0.8865445251472461,0.1097,3.065626639527635
19,0.6926,0.9078244581199683,0.1511,2.545481632311885
20,0.7005,0.8768198026445346,0.1165,3.0087938605786895
21,0.6989,0.8886988047784129,0.1519,2.5949019825877473
22,0.7098,0.8515795782541695,0.1146,2.979680397259161
23,0.7042,0.8752476883391602,0.1536,2.6155016494635195
24,0.7107,0.8429155433520722,0.1166,3.031532564863991
25,0.7096,0.8652636209806315,0.1598,2.495489788131592
26,0.7177,0.824116009778489,0.1032,3.2227366221979405
27,0.7083,0.8707680085215705,0.1789,2.326073264542479
28,0.7222,0.8118049311942567,0.1018,3.267256674294274
29,0.7185,0.850882395959129,0.1769,2.3644453256655806
