epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.4719,0.4719,0.4719,0.4719,2.2957200183989896
1,0.7198,0.7198,0.7198,0.7198,2.258763856948561
2,0.737,0.737,0.737,0.737,2.170471744172892
3,0.7521,0.7521,0.7521,0.7520999999999999,2.025959183456032
4,0.7914,0.7914,0.7914,0.7914,1.8808103427765475
5,0.8211,0.8211,0.8211,0.8211,1.776710183757126
6,0.8373,0.8373,0.8373,0.8373000000000002,1.711224056353235
7,0.8479,0.8479,0.8479,0.8479,1.6696295593954196
8,0.8539,0.8539,0.8539,0.8539,1.6429782809725233
9,0.8611,0.8611,0.8611,0.8611000000000001,1.620835430303197
10,0.8822,0.8822,0.8822,0.8822,1.5987622206378136
11,0.9058,0.9058,0.9058,0.9058,1.575362534280036
12,0.9231,0.9231,0.9231,0.9231,1.5578443244764
13,0.9344,0.9344,0.9344,0.9344,1.5425700951533712
14,0.9416,0.9416,0.9416,0.9416,1.5327698713654925
15,0.9468,0.9468,0.9468,0.9468,1.5250615116896902
16,0.9508,0.9508,0.9508,0.9508,1.5186317080904723
17,0.9543,0.9543,0.9543,0.9543,1.514594002134481
18,0.9571,0.9571,0.9571,0.9571,1.5109730776707837
19,0.9586,0.9586,0.9586,0.9586,1.5082950364252565
