epoch,clean_acc,clean_loss,poisoned_acc,poisoned_loss
0,0.1615,2.221205010581702,0.1182,2.2696466232641055
1,0.3041,1.994396852989928,0.1083,2.313226105306095
2,0.4268,1.7933789944877259,0.1079,2.4426845361630374
3,0.5088,1.6139598128894648,0.112,2.6097591951632273
4,0.5565,1.4609016378085835,0.1097,2.8103358936005125
5,0.5855,1.3358383371045415,0.1077,3.0516554159097398
6,0.6029,1.2362717673801387,0.1077,3.2989103268510616
7,0.6147,1.1606783605992985,0.109,3.579741897674414
8,0.6216,1.104467209726096,0.1084,3.8577341286899944
9,0.6335,1.0563456414225765,0.1074,4.093541126281689
10,0.6432,1.0220940760530222,0.1083,4.309384298019896
11,0.6532,0.9931577668784145,0.1073,4.502689539053189
12,0.6602,0.9699535284179468,0.1078,4.662977655855611
13,0.6661,0.9496816180575008,0.1068,4.83728624761295
14,0.6716,0.9316647679280168,0.1063,4.976412319146787
15,0.6787,0.9148729320722647,0.1063,5.078386794263944
16,0.6837,0.9012462120657911,0.1044,5.21182066563981
17,0.6865,0.8872652294727179,0.1043,5.292586794295631
18,0.6923,0.8729225298086294,0.1053,5.3570776671266405
19,0.6966,0.8602156928552988,0.1059,5.415437964966503
20,0.6985,0.8499429176409785,0.108,5.427559828986756
21,0.7028,0.8395994627437653,0.1061,5.491024571866654
22,0.7063,0.830657037397543,0.1062,5.566868446886349
23,0.7107,0.821813604702203,0.1066,5.601234361386528
24,0.7134,0.8122645978348705,0.1074,5.605579370126938
25,0.7164,0.8037764429093931,0.1086,5.660197868895607
26,0.7202,0.7957126110696945,0.1069,5.70382402651607
27,0.7235,0.7887270322051673,0.1066,5.802832947752346
28,0.726,0.7819078089520574,0.1047,5.852879885286569
29,0.7171,0.860097520743696,0.1552,2.2628271659723107
30,0.7291,0.8008654235650937,0.1491,2.5242831718426544
31,0.7325,0.7868114207118464,0.1612,2.4056994023795326
32,0.7439,0.7624061052410748,0.2059,2.18519605082064
33,0.7477,0.7523367130718293,0.3439,1.6564253580075103
34,0.7532,0.7346458376977391,0.4849,1.255104227949636
35,0.7501,0.7435436077392139,0.6899,0.7703214868569908
36,0.7563,0.7167497734292246,0.82,0.4842393958625702
37,0.7607,0.7066590988312286,0.8943,0.3069536308891857
38,0.7632,0.7021247676957529,0.9419,0.189345787002589
39,0.7647,0.6915700726996595,0.9725,0.10187443684393796
