epoch,test_acc,test_loss
0,0.4255,2.295290508088033
1,0.8024,2.2768452456043025
2,0.862,2.2402477507378644
3,0.891,2.1785956325045057
4,0.9096,2.0877796677267475
5,0.9198,1.9782336137856646
6,0.9284,1.867129537709959
7,0.9346,1.7729314854190608
8,0.9396,1.698133823218619
9,0.9438,1.6412360037967657
10,0.9476,1.601826417977643
11,0.9506,1.5742295168008014
12,0.9534,1.5544328636424556
13,0.9554,1.539957416285375
14,0.9574,1.5294339049393963
15,0.9601,1.5217348891458693
16,0.9615,1.5160667660889353
17,0.9627,1.5112469272249063
18,0.9645,1.5073709001966342
19,0.9659,1.5040631408144713
