epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1,,0.0,
1,0.4574,1.5806141417628279,0.0942,3.1024426987376836
2,0.4766,1.4788671233021795,0.093,3.9490085501259506
3,0.5221,1.3531229048491287,0.0995,4.017478942109373
4,0.5457,1.2764359230812365,0.0989,4.231379588952842
5,0.566,1.2205182310110463,0.1032,4.394706633906014
6,0.5856,1.171383304146532,0.1096,4.472966186535625
7,0.6017,1.1276501363839586,0.1119,4.5491397411297685
8,0.6134,1.0964666549770976,0.1086,4.714839015144129
9,0.631,1.0652216570065045,0.126,3.8113057605755594
10,0.6377,1.0428290302380205,0.1239,3.7117889559687898
11,0.6464,1.0154216586591336,0.1223,3.52702547262271
12,0.657,0.9884913742732697,0.1178,3.5147366927454646
13,0.6636,0.970761205822515,0.1273,3.328235230125939
14,0.6677,0.9546394723291975,0.115,3.476686277328589
15,0.6746,0.9367532261644309,0.13,3.3211955856591366
16,0.6825,0.9196232374483785,0.1206,3.419192276823635
17,0.6886,0.9030784705576425,0.1244,3.373172713544803
18,0.6927,0.8939429588211231,0.1195,3.367645654434594
19,0.6999,0.8742587828217223,0.1225,3.3433723007909024
20,0.6987,0.86875586625867,0.1194,3.4102736974295715
21,0.7072,0.8520590736271855,0.1213,3.4258252850736675
22,0.7094,0.8492170411367386,0.128,3.3051040858125535
23,0.7157,0.8302357614802095,0.124,3.366094745386142
24,0.7166,0.8255024505689883,0.1231,3.3549665787730354
25,0.7206,0.8110371097779503,0.1194,3.3758771594720907
26,0.7252,0.8032987002557078,0.1228,3.3245817807535776
27,0.7253,0.7964611293408818,0.1251,3.3276610145934473
28,0.7293,0.7895146207497142,0.1218,3.3201511759346665
29,0.7295,0.7834192402065753,0.1236,3.3135896734536265
