epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.0971,2.30281336467487,0.0619,2.2848336163420266
1,0.0972,2.301991324836073,0.0,2.3309578926037675
2,0.1021,2.3008922029988836,0.0,2.3988521502802547
3,0.1025,2.2970736232428504,0.0,2.482280161434088
4,0.1019,2.287774911703774,0.0,2.590888424041553
5,0.121,2.2635072755356567,0.0,2.71346116065979
6,0.1339,2.2117817333331122,0.0,2.8540414804086898
7,0.1851,2.1174522074647606,0.0007,3.0034263354901687
8,0.2792,1.988132790635569,0.0086,3.1854777960731577
9,0.3751,1.8223874153801427,0.0237,3.364726229597585
10,0.4468,1.6503150504998887,0.0362,3.5621930456009157
11,0.4972,1.4970806498116198,0.0507,3.7789020515478455
12,0.5326,1.3762107470545906,0.0645,3.967993890896392
13,0.556,1.287277290805841,0.075,4.194899277184337
14,0.5747,1.2172685242689456,0.0822,4.351376449719024
15,0.5833,1.1749532535053289,0.087,4.540931906563024
16,0.5941,1.1389991452518744,0.0966,4.634790668091454
17,0.5986,1.1168937534569932,0.0979,4.787542199174436
18,0.6046,1.0940325210650508,0.1011,4.832871747854799
19,0.6094,1.0797280985326432,0.0962,5.008096882329581
20,0.6128,1.061338031634736,0.0968,5.0540527505234785
21,0.6179,1.0486960885242913,0.0968,5.129459851846908
22,0.6225,1.0339740017732493,0.098,5.188393604260283
23,0.6289,1.0225935467896752,0.1005,5.233337959923302
24,0.6359,1.0135953419696029,0.106,5.283387480452419
25,0.6413,1.0012914656450191,0.1107,5.220828653524478
26,0.6461,0.9922002268294556,0.1065,5.330301913971337
27,0.6524,0.9792511395562571,0.1051,5.279169514537238
28,0.6524,0.9737006543924253,0.1049,5.400124257364974
29,0.6573,0.9652027516319348,0.1053,5.416274149958699
30,0.662,0.9544865646110937,0.1112,5.348161906099167
31,0.6649,0.9459155523738922,0.1052,5.465406506968002
32,0.6691,0.9387442707634581,0.1049,5.544637947417677
33,0.6731,0.9321155900391527,0.1057,5.583980887842635
34,0.6762,0.9208411879051989,0.1042,5.6557603689809195
35,0.6799,0.911726351839285,0.1067,5.674636051677667
36,0.6829,0.9036172877866239,0.1064,5.685935946699148
37,0.6849,0.8959417535474126,0.1014,5.775781530922594
38,0.6829,0.8911193963437797,0.1023,5.80980424606762
39,0.6881,0.8856056998141657,0.1026,5.8664020318954515
