epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.1191,2.302200511762291,0.0,2.3043549486026644
1,0.1416,2.3017542696302864,0.0004,2.3036566023613996
2,0.1675,2.3009761063156615,0.0177,2.3028574308771996
3,0.1921,2.299372012448159,0.062,2.3016667047124
4,0.1944,2.294814251031086,0.0831,2.3001888922065685
5,0.1787,2.276528352385114,0.0431,2.3118587010984966
6,0.2052,2.242336163854903,0.008,2.341207700170529
7,0.2098,2.2308051069830634,0.0026,2.407439562925108
8,0.1952,2.2526602775427946,0.3026,2.1452289310989867
9,0.228,2.2191272510844433,0.0,2.439128640351022
10,0.1756,2.257067366010824,0.0,2.4303162067559114
11,0.196,2.259079066051799,0.0,2.4535017484312602
12,0.1521,2.297854719647936,0.0,2.4474339439610766
13,0.1154,2.343647487603935,0.0,2.4591518374764996
14,0.2068,2.245775125588581,0.0,2.449698018420274
15,0.1736,2.260927063644312,0.0,2.4301024394430173
16,0.1485,2.293031672763217,0.0002,2.43527144383473
17,0.1066,2.323956603457214,0.0,2.4281125220523516
18,0.1309,2.299851955122249,0.0007,2.4071884337504197
19,0.19,2.2500401788456426,0.0332,2.360350611862863
20,0.1709,2.265781756419285,0.1779,2.309307347437379
21,0.1875,2.2612493569683876,0.1403,2.3049000995174334
22,0.1501,2.2910666587246453,0.0005,2.4274762694243415
23,0.194,2.257743712443455,0.0306,2.40679505372503
24,0.1862,2.251216880834786,0.4492,2.0621148332668717
25,0.1733,2.2610261804738623,0.0311,2.388288651302362
26,0.1819,2.2594424721541677,0.2588,2.180679763198658
27,0.1831,2.258457253693016,0.0472,2.3729884108160713
28,0.2195,2.222455513705114,0.2356,2.2121237873271773
29,0.2513,2.1936352009985858,0.0367,2.39367427491838
30,0.2892,2.1638996509989354,0.1217,2.3142474821418713
31,0.2575,2.195555412085952,0.1043,2.335331689020631
32,0.2184,2.225245465138915,0.0331,2.4097066760822465
33,0.2341,2.214547526304889,0.1053,2.3445075469411862
34,0.248,2.1923639850251995,0.3392,2.1266697440177773
35,0.2795,2.1736342405817313,0.0326,2.409246459888045
36,0.3231,2.128819315296829,0.0707,2.366426156584624
37,0.3319,2.1237631443959133,0.1205,2.316988501579139
38,0.2914,2.1600161008774097,0.1157,2.3325402615176642
39,0.2542,2.1961043754201026,0.1237,2.3241997904078975
40,0.2377,2.2179386995400594,0.0796,2.3742046857335763
41,0.2579,2.1887657961268334,0.0888,2.3587764053587703
42,0.2534,2.1921327068547534,0.2956,2.1580502850234886
43,0.2924,2.1611973540798113,0.0457,2.4013713696959673
44,0.3019,2.151684897720434,0.0915,2.351246353926932
45,0.292,2.1571906235567324,0.0866,2.3540914757236555
46,0.2981,2.1525114417835405,0.2345,2.2119902258466
47,0.3148,2.1359089172569807,0.0615,2.3854501672611117
48,0.3071,2.143792313375291,0.1191,2.325993838583588
49,0.2817,2.166968477759392,0.0648,2.377758691265325
50,0.2698,2.1771689509130585,0.4289,2.03248883052996
51,0.3045,2.1496591735038026,0.0216,2.4172931021186197
52,0.3035,2.1504384408331223,0.046,2.3989518372116576
53,0.2995,2.150609766601757,0.1013,2.3381063209217823
54,0.3086,2.143228816378648,0.0967,2.342817178957022
55,0.3233,2.1303532548770785,0.1799,2.271483957387839
56,0.3423,2.1087761730145496,0.074,2.372502548679425
57,0.3555,2.0954644953369335,0.135,2.306281338831422
58,0.3443,2.10680276421225,0.1704,2.2818014879894863
59,0.354,2.100937108325351,0.0641,2.3823303948542116
60,0.3374,2.113445384487225,0.1817,2.2686110560301764
61,0.3606,2.0952017641371223,0.0539,2.3916074121074313
62,0.3333,2.1197831881274083,0.2246,2.2264186409628315
63,0.3289,2.1238207672811615,0.0327,2.412831109040862
64,0.3444,2.1083998467512193,0.2251,2.227351492377603
65,0.3743,2.0822798666680695,0.0456,2.401217147802851
66,0.3825,2.0706286612589646,0.1489,2.3004703901375936
67,0.3712,2.0853168030453335,0.0903,2.3578081799160904
68,0.3258,2.1289225429486316,0.1196,2.3286840247500473
69,0.3519,2.1027336598961215,0.0931,2.3583118839628376
70,0.348,2.1058693585122468,0.1294,2.3179448106486324
71,0.3564,2.0965629504744414,0.0998,2.3500587287222503
72,0.3639,2.0901435036568126,0.2051,2.243283458576081
73,0.3532,2.1024994546440756,0.0332,2.4149863158062006
74,0.3894,2.0655819504124344,0.1784,2.266990804368523
75,0.396,2.0569341661064486,0.0425,2.402888086950703
76,0.3556,2.0957396592304205,0.2852,2.16831327395834
77,0.3327,2.1173819068131174,0.0058,2.442258675386951
78,0.3748,2.080281527179062,0.0815,2.365391142049413
79,0.3746,2.0789726258842807,0.1435,2.3055935756416077
80,0.4007,2.0551118197714446,0.0864,2.357872293253613
81,0.3664,2.0885384773752493,0.1171,2.3352078541069274
82,0.3509,2.102631398826648,0.1247,2.3249020940938574
83,0.3832,2.0743132837259086,0.0931,2.35426772172284
84,0.3983,2.055128256226801,0.2103,2.238313539772277
85,0.3892,2.0664366764627444,0.03,2.4179659907225592
86,0.3891,2.0665186165244718,0.1922,2.2525841916442677
87,0.4102,2.043885982719956,0.0511,2.397605206556381
88,0.4229,2.0329109794774634,0.1821,2.2681643461725516
89,0.4228,2.0364886264132847,0.0407,2.4059900326333987
90,0.4018,2.0519974679703923,0.2555,2.1950641969206988
91,0.4249,2.0320259309878015,0.0231,2.4245290816969174
92,0.4451,2.0137232192762338,0.1159,2.331372341532616
93,0.4244,2.030638426732106,0.0881,2.360329981822117
94,0.3873,2.065321139469268,0.1344,2.313722750183883
95,0.3988,2.0553217860543804,0.0857,2.3628659217980257
96,0.3774,2.0774417834676755,0.1484,2.3037913453047443
97,0.3865,2.069290959910982,0.1118,2.33880498151111
98,0.378,2.074797426819042,0.0774,2.368899886015874
99,0.4067,2.047894174126303,0.1827,2.263961327303747
100,0.4029,2.053837754164532,0.0361,2.4097192530419416
101,0.3658,2.0859225350580397,0.2379,2.2143413853493468
102,0.3734,2.0800600370783715,0.0236,2.4264282193153526
103,0.383,2.070357839013361,0.2047,2.247229032455736
104,0.4122,2.0436327290383116,0.084,2.366308376287958
105,0.4249,2.0321653656139493,0.1148,2.3358449282919524
