epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1097,2.3045282660962676,0.0,2.2962775009508714
1,0.1107,2.3035118244707395,0.0,2.3135114188392323
2,0.115,2.3018969514499457,0.0,2.3151675946415424
3,0.1241,2.2971056635006546,0.0,2.3259619942869243
4,0.1238,2.284785930341044,0.0,2.346746686929331
5,0.1437,2.2547234658616038,0.0,2.3723758188680337
6,0.1792,2.193341880560683,0.0008,2.408969387840539
7,0.2469,2.0882088056387613,0.01,2.4776847789081904
8,0.3136,1.942133322310524,0.029,2.553596468398365
9,0.3954,1.7664715779094269,0.0509,2.6373307126017806
10,0.4668,1.5945061845139574,0.0779,2.692869216870195
11,0.5135,1.4521458305109043,0.0967,2.7815822831358012
12,0.5434,1.3401769784311899,0.1179,2.837606206107825
13,0.5659,1.2601418070518933,0.1257,2.916958333585209
14,0.5756,1.2032207347714483,0.1348,2.9434217629722133
15,0.5855,1.164518508476952,0.1296,3.266792425332359
16,0.5979,1.1323666113634079,0.1403,3.2360916518555665
17,0.6048,1.1084590403797527,0.1317,3.5346473344979574
18,0.6104,1.0895401601212473,0.1293,3.7432040200827603
19,0.6152,1.0740549596734703,0.1431,3.5309938500864435
20,0.6188,1.0614828122690463,0.1465,3.4162069936149035
21,0.6269,1.0484213924255614,0.1362,3.62501291649791
22,0.6294,1.0354283636751267,0.1514,3.4473602109062025
23,0.6354,1.0231963849296204,0.1372,3.7174613582440457
24,0.6372,1.0175639166237829,0.1422,3.6235699287999554
25,0.6404,1.0059111773396452,0.1559,3.4473183939632137
26,0.6474,0.9911757732351748,0.1761,3.1892468944525185
27,0.6494,0.9818424211142543,0.1893,3.0458748858576765
28,0.6541,0.9748737638750777,0.2141,2.8946954507035567
29,0.6529,0.9778640298797681,0.3769,2.0186258463052136
30,0.6593,0.9650414334699369,0.4868,1.5566341560869552
31,0.6597,0.9576428034625495,0.5982,1.2383185668875234
32,0.6634,0.947138044209526,0.6587,1.0378696489067505
33,0.6717,0.9330116583706852,0.6755,1.0094963974846056
34,0.6727,0.9232014670920449,0.6741,0.9966715661862406
35,0.6774,0.9095652585212415,0.6958,0.9261615100188758
36,0.6771,0.9094959141347355,0.7144,0.8718742729185488
37,0.684,0.8925953690236369,0.7301,0.8186552366509605
38,0.6915,0.8848284313473077,0.7518,0.7362787289360461
39,0.6914,0.87581225506033,0.7464,0.7774748462267196
