epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.0873,2.3053155120569295,0.0,2.3967816867767433
1,0.1028,2.304533413804758,0.0,2.407898436719998
2,0.1076,2.302740540367346,0.0,2.4146506458806534
3,0.1164,2.2982907813197127,0.0,2.451122213095522
4,0.1286,2.2849545714954216,0.0,2.5014429991237654
5,0.1397,2.2536483991641205,0.0,2.5651439279793933
6,0.1571,2.1949867966076058,0.0005,2.685686828991095
7,0.2311,2.09656157775428,0.0076,2.7891215158346743
8,0.3334,1.961152715043138,0.0245,2.921678942232467
9,0.4286,1.7914078677424228,0.0426,3.0088396255200665
10,0.4799,1.62751718603384,0.0618,3.0949934465816606
11,0.5285,1.4705382688357806,0.0799,3.157221011841259
12,0.5447,1.3565997117624495,0.0852,3.292138542230137
13,0.5663,1.2752701061221356,0.0899,3.4541741026857027
14,0.579,1.2182568073653566,0.093,3.5597006078726188
15,0.5856,1.1818754322612628,0.0981,3.6448799649747414
16,0.5978,1.1433001943289662,0.1046,3.6325345572572165
17,0.6059,1.1202257521236285,0.1119,3.6767441754143078
18,0.6116,1.1019533008051376,0.1147,3.6921368140382125
19,0.6152,1.0851447153776979,0.1191,3.7046839010220367
20,0.6183,1.0704335998803283,0.1168,3.707350864958839
21,0.6243,1.0568526210114597,0.1201,3.679533008569346
22,0.6262,1.0478316497878906,0.1264,3.633032079702749
23,0.6305,1.0310381193892262,0.1243,3.860867034893828
24,0.6346,1.0233956259279586,0.1251,3.8194725079277454
25,0.6379,1.0110295856722629,0.1262,3.7688931299093813
26,0.6423,0.9997060965425291,0.1308,3.6807924010121402
27,0.6433,0.9943686617068208,0.1336,3.657097111113917
28,0.6522,0.9802432286853607,0.1331,3.819345860435559
29,0.6484,0.9797349021838496,0.1929,2.659441779215877
30,0.6484,0.9766420716294846,0.3009,1.9581371302041002
31,0.6565,0.9605360910915338,0.5096,1.2548693974558918
32,0.6635,0.941707764189845,0.6436,0.9290961388962719
33,0.6654,0.9330854762476474,0.8146,0.5245441416867624
34,0.6705,0.9222437838395945,0.8878,0.3407773924188111
35,0.6725,0.9119920269749797,0.9398,0.203742214880241
36,0.6784,0.8976530575523742,0.9568,0.1555111751603052
37,0.6857,0.8880788087844849,0.9701,0.11322273602024815
38,0.6865,0.8814674539687916,0.9776,0.0888745141938662
39,0.6903,0.8703484035338076,0.9898,0.04720535190603413
