epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.1135,2.29735616058301,0.0,2.3112577344201934
1,0.1135,2.3135814028940382,0.0,2.43190401678632
2,0.4358,2.022296335287155,0.2056,2.237479899339615
3,0.3515,2.1077731445336796,0.0463,2.4084159917892163
4,0.4241,2.029211547724001,0.3213,2.1338508789706383
