epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.0941,2.3034466904954027,0.3976,2.274939923240735
1,0.1138,2.303500825985552,0.0,2.295512299948988
2,0.1144,2.300439635023903,0.0,2.337686797681327
3,0.1172,2.2843518896986503,0.0,2.3964928902757054
4,0.1213,2.229006153326065,0.0017,2.493215542631789
5,0.1919,2.0808944321288085,0.059,2.528080939484861
6,0.3835,1.843035777536825,0.1258,2.539514363383333
7,0.4782,1.6068951862688643,0.1566,2.532518865963141
8,0.5326,1.4038955744463033,0.1922,2.431865481522898
9,0.5615,1.2824165205985973,0.2493,2.312035060919131
10,0.5794,1.2095825675958263,0.2876,2.211479781153865
11,0.5891,1.1644422670903678,0.3171,2.1747282404488266
12,0.5977,1.1353145100819035,0.3449,2.104830342359817
13,0.6044,1.1098612385055127,0.3742,1.9897055545934854
14,0.6077,1.0898869258527177,0.39,1.9467910585312036
15,0.6151,1.0716635634343084,0.41,1.8911520315054506
16,0.6214,1.0597341797603206,0.4067,1.9085325642515676
17,0.6274,1.04357759983014,0.4303,1.8573166783244466
18,0.6333,1.0262486468107936,0.4556,1.783319154867349
19,0.6342,1.0122017435753308,0.4744,1.7248261778499372
20,0.6457,0.9989662922609347,0.4961,1.6399268047116435
21,0.6501,0.9874315827418441,0.516,1.5857151916232735
22,0.6551,0.9780208679814689,0.52,1.575184582140499
23,0.659,0.9699153392650068,0.5045,1.6244870917484784
24,0.665,0.9599422513486479,0.5253,1.5368909569213185
25,0.6679,0.9425136108939259,0.5625,1.4304615655265296
26,0.6721,0.93174210714456,0.5764,1.3725608716757534
27,0.6764,0.9251018276039403,0.5615,1.4337654848830006
28,0.6784,0.9156621585067469,0.5798,1.3735058994148486
29,0.6813,0.9053995348394107,0.5675,1.4215167492342453
30,0.684,0.9023004897867148,0.5674,1.4449965618669796
31,0.6849,0.8936680593429663,0.5689,1.423748418926812
32,0.686,0.8882719220254368,0.5685,1.4138483759313345
33,0.6874,0.8832167260372601,0.5856,1.3617049289968448
34,0.691,0.8790687947227551,0.5999,1.3246813879226342
35,0.6932,0.8739003616209609,0.5953,1.3433911838470556
36,0.6964,0.8680043318591559,0.5959,1.3364493245133957
37,0.6942,0.8627208182796503,0.5886,1.3709067070065215
38,0.6977,0.8548990677530393,0.6077,1.2999881342196236
39,0.6999,0.8511026930123472,0.6046,1.326256908357334
