epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.1016,2.30438160591613,0.0,2.4137589383049134
1,0.0997,2.3027103107196454,0.0,2.5527982300462813
2,0.1212,2.282800186175508,0.0,2.756757235755555
3,0.1776,2.197408740132,0.0002,2.982963773770073
4,0.3272,1.9689242832196026,0.0103,3.2988277913663335
5,0.4326,1.6876159197987077,0.0415,3.500170620866477
6,0.4935,1.4743569129572127,0.0688,3.660973612873699
7,0.5186,1.352172703407824,0.0889,3.9655336549106877
8,0.5334,1.2989198519779852,0.1036,3.960474084360531
9,0.5418,1.2724409874635763,0.1134,4.067642167734262
10,0.554,1.238159370308105,0.1129,4.213637066344484
11,0.5645,1.2126622908412459,0.1104,4.215216905545122
12,0.5708,1.193813654561393,0.1188,4.1351128302443145
13,0.578,1.1744791425455112,0.1181,4.135818098299801
14,0.5891,1.1565245713669652,0.112,4.286511377023813
15,0.5944,1.1402667252400431,0.1188,4.182986657078654
16,0.5952,1.1320303206245739,0.1224,4.130059844769609
17,0.6014,1.1165841254182518,0.1175,4.1205151027764755
18,0.607,1.1007550484456194,0.1152,4.324511229420622
19,0.6148,1.0803202544919217,0.1199,4.107525079775923
20,0.6212,1.067202289264423,0.1222,4.003711176375612
21,0.6264,1.0579747454807782,0.1208,4.026491269516868
22,0.6289,1.0446954152454584,0.1145,4.216969634016482
23,0.6341,1.0350326151131821,0.1179,4.1649565041636505
24,0.635,1.0249886090001359,0.1155,4.363525067655424
25,0.6369,1.0134665137662675,0.1145,4.4373845398997345
26,0.6422,1.0028891504382174,0.1105,4.406189336563451
27,0.644,0.9939686419864813,0.1167,4.240075619456867
28,0.6488,0.9891735577164367,0.1171,4.162970232125669
29,0.6516,0.9800141738436092,0.1092,4.447359856706077
30,0.6554,0.9665019243669967,0.11,4.519415145484023
31,0.6576,0.9642082963126917,0.1118,4.4271650664722575
32,0.6606,0.9556748983197318,0.1055,4.600873514486197
33,0.6644,0.9499468852917607,0.1133,4.337056791439605
34,0.6665,0.9424809015597018,0.1055,4.598567624442493
35,0.6706,0.9303736353453737,0.1137,4.35406032690225
36,0.673,0.9251807758602472,0.1234,4.229210909182271
37,0.6771,0.9155667904086007,0.1279,4.070581904615457
38,0.6811,0.9059452260264192,0.1249,4.285188661215785
39,0.6835,0.9026208163831181,0.1363,4.044358971781624
