epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.0961,2.3022761809559293,0.0,2.2928313317771156
1,0.1084,2.3010923908160517,0.0008,2.288530324594662
2,0.106,2.298517131957764,0.0,2.295520445790154
3,0.1086,2.2947784536562787,0.0,2.349949108525968
4,0.1133,2.2847025744831218,0.0,2.3999369258697802
5,0.1326,2.258493031937474,0.0,2.4661756856753803
6,0.1536,2.2053386426200503,0.0001,2.6236019820070116
7,0.2299,2.1058781931575496,0.0084,2.703096580200683
8,0.3449,1.9688424953637413,0.0259,2.810875570431304
9,0.4411,1.796511630280711,0.0472,2.8879835841754753
10,0.4887,1.628955158562706,0.0626,2.9979941007047417
11,0.5236,1.478498161029511,0.0804,3.0930899621579595
12,0.5482,1.3672453622086742,0.089,3.248283870684834
13,0.5637,1.2791272514163496,0.0908,3.5697338961945557
14,0.574,1.215078037196455,0.1058,3.5608389910798484
15,0.5857,1.1788815440842138,0.1044,3.673634997572
16,0.5927,1.1463283467978334,0.1127,3.6530914458984767
17,0.5996,1.121905573069478,0.1153,3.7241576251130515
18,0.6059,1.1032300444837577,0.1142,3.97409556544246
19,0.6109,1.087040415777566,0.1105,4.179822851674626
20,0.6161,1.0709579341327802,0.1112,4.056317954779433
21,0.625,1.05633403451298,0.1153,3.9704320758295517
22,0.6282,1.0468316430481859,0.1226,3.8725569019683252
23,0.6314,1.036277536386118,0.1193,4.078904657699049
24,0.6337,1.0287502596553522,0.1242,3.9958582312916033
25,0.6359,1.0173553064608345,0.1305,3.8475329799773976
26,0.6413,1.0078972867502571,0.1296,3.7730844142718816
27,0.6459,0.996874023931095,0.1278,3.715726015285943
28,0.6485,0.9853881151912312,0.1326,3.566916093277855
29,0.6504,0.9781327180969067,0.1788,2.6813009699312644
30,0.6546,0.9766456859942061,0.2439,2.1466639159967342
31,0.663,0.9597715474546146,0.4018,1.5329376916154125
32,0.6652,0.953564602155655,0.5976,1.0177535608934518
33,0.671,0.9384785035547738,0.7076,0.7763988036698046
34,0.6788,0.9204514330377975,0.7899,0.5837553291084667
35,0.6784,0.9186734267697928,0.8343,0.47430373080812704
36,0.6731,0.9202757816726026,0.8869,0.339862906561492
37,0.6829,0.9012301008160503,0.8963,0.3164569166378853
38,0.6867,0.8878547518778914,0.9316,0.2226911056965304
39,0.6871,0.8813208446335107,0.9281,0.22548945000567755
