epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1,,0.0,
1,0.461,1.5748064457037199,0.099,3.0481117929513464
2,0.4875,1.4640198544191476,0.0916,4.103510634205974
3,0.5296,1.3350310803602299,0.0918,4.068242341184768
4,0.5517,1.2638309719844367,0.1023,4.280148051417293
5,0.5747,1.202895969818956,0.1039,4.475501533514395
6,0.5933,1.1538841615850552,0.101,4.638387985503711
7,0.6046,1.116680516412083,0.108,4.681111183410255
8,0.6171,1.0822831380862397,0.1038,4.853616405980656
9,0.629,1.0520477534863895,0.1066,4.925447079320304
10,0.6371,1.0285816609669036,0.1083,5.012886544005178
11,0.6454,1.0023141689955617,0.1093,5.023871537595511
12,0.6533,0.9822406213694868,0.1074,5.12610462907785
13,0.6604,0.965371712232931,0.1081,5.193452508304827
14,0.6667,0.9443332013040305,0.1083,5.22604980026952
15,0.6719,0.9272012513476058,0.1081,5.335202179016016
16,0.6806,0.9132641654806777,0.1077,5.378205824964724
17,0.6839,0.8974921953754303,0.1084,5.451467929175868
18,0.6881,0.8882540066402179,0.1053,5.549310126624549
19,0.6825,0.9140498514373463,0.1524,3.381072662889767
20,0.6862,0.916403919267959,0.1486,2.8842777314658363
21,0.6882,0.9128648413065523,0.1484,2.6931892462050953
22,0.6931,0.9038803733575839,0.1462,2.638860569213526
23,0.6976,0.89358386663964,0.1429,2.6039107352399977
24,0.6992,0.8844197826644483,0.1425,2.586799198065322
25,0.7044,0.8746308979515831,0.1417,2.6195086853953597
26,0.7049,0.8670843522579145,0.1379,2.583511507930085
27,0.7103,0.8598268388178402,0.142,2.5655735677804428
28,0.7141,0.8513332776749096,0.1377,2.6024919173207146
29,0.7161,0.847504412975555,0.1414,2.5452546090744557
