epoch,test_acc,test_loss
0,0.15,2.300006113234599
1,0.2864,2.297053042490771
2,0.4219,2.2930108741590174
3,0.5745,2.287665833333495
4,0.6932,2.2808146097098185
5,0.7724,2.272093170008082
6,0.8183,2.2612008623256803
7,0.8521,2.248010283063172
8,0.8769,2.232137333815265
9,0.8937,2.2132660568140117
10,0.9102,2.1915169582245455
11,0.9201,2.1657516956329346
12,0.9281,2.136556330759814
13,0.9363,2.10452717884331
14,0.9424,2.0679444142967274
15,0.9494,2.0285795843525296
16,0.9524,1.9884009535904903
17,0.9555,1.9461811363317405
18,0.9589,1.9038429161545578
19,0.9618,1.8612469784013785
