epoch,test_acc,test_loss
0,0.7003,2.200706141769506
1,0.7028,1.9022090662816526
2,0.7256,1.766108938842822
3,0.735,1.726092505606876
4,0.7423,1.7115172512212378
5,0.7512,1.7001573302943236
6,0.7541,1.6963467354987078
7,0.7557,1.6944180727005005
8,0.7577,1.6940992690955
9,0.7616,1.6889882285124178
10,0.7634,1.6899145522694679
11,0.766,1.6847881397623925
12,0.7655,1.6864318278185122
13,0.7683,1.6819533026142486
14,0.7704,1.6798029204083096
15,0.7711,1.6795092464252641
16,0.7717,1.6799902270553977
17,0.7711,1.682741979125199
18,0.7705,1.683896302417585
19,0.7707,1.6827097964134945
