epoch,test_acc,test_loss
0,0.5449,2.2881198202728465
1,0.6272,2.2452921594024464
2,0.6486,2.1603430957551213
3,0.6583,2.0404729668501838
4,0.6634,1.92685231661341
5,0.6729,1.848965836178725
6,0.695,1.8055384713373366
7,0.7213,1.7718855545019647
8,0.74,1.7481860560216722
9,0.7482,1.7311337161216007
10,0.7556,1.7199115942997538
11,0.7593,1.712203054671075
12,0.7617,1.7058948976978374
13,0.7631,1.7027780516132427
14,0.7644,1.6997883615979723
15,0.7658,1.6980881539120036
16,0.767,1.6971437650121701
17,0.7676,1.6956447332527986
18,0.7692,1.694963137814953
19,0.7696,1.6923955747276356
