epoch,test_acc,test_loss
0,0.7254,2.273428664845266
1,0.7956,2.16840241517231
2,0.8175,1.9793622736718244
3,0.8308,1.815093234845787
4,0.8388,1.7164195009097931
5,0.8471,1.6622495393084873
6,0.8663,1.6256705795883373
7,0.8972,1.5926311494438512
8,0.9178,1.5664259157363016
9,0.9287,1.5487318691933991
10,0.936,1.5367237868582366
11,0.942,1.5281307256905137
12,0.9468,1.5223428382995023
13,0.9506,1.5176655965246213
14,0.9527,1.5135224381829524
15,0.9547,1.5105738632238594
16,0.9564,1.5079968173033114
17,0.9584,1.5056105510444397
18,0.9612,1.503437998947824
19,0.9619,1.501728049509085
