epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.6372,0.6372,0.6372,0.6372,2.121979793925194
1,0.7022,0.7022,0.7022,0.7022,1.825715445409155
2,0.7241,0.7241,0.7241,0.7241,1.75488625590209
3,0.735,0.735,0.735,0.735,1.7328672454615308
4,0.741,0.741,0.741,0.7410000000000001,1.7228872320454591
5,0.7477,0.7477,0.7477,0.7477000000000001,1.7146224945214144
6,0.7518,0.7518,0.7518,0.7518,1.7115871314030544
7,0.7554,0.7554,0.7554,0.7554,1.7083209244308957
8,0.7572,0.7572,0.7572,0.7572,1.704653071749742
9,0.7599,0.7599,0.7599,0.7599,1.7022046982103092
10,0.7622,0.7622,0.7622,0.7622,1.7001967422521798
11,0.7628,0.7628,0.7628,0.7628,1.6978609440432992
12,0.7648,0.7648,0.7648,0.7648,1.6966702566025362
13,0.7654,0.7654,0.7654,0.7654,1.6955394737280098
14,0.766,0.766,0.766,0.766,1.6949205018912152
15,0.7676,0.7676,0.7676,0.7676,1.6938591686783322
16,0.7682,0.7682,0.7682,0.7681999999999999,1.6938145684588486
17,0.7689,0.7689,0.7689,0.7689000000000001,1.6927202977951925
18,0.7694,0.7694,0.7694,0.7694,1.6917719453763052
19,0.7703,0.7703,0.7703,0.7703,1.6920101422413139
