epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1,,0.0,
1,0.4617,1.5681604729673733,0.1126,3.0388330948619418
2,0.4881,1.46878581134656,0.1066,4.000925515787289
3,0.5301,1.3415437752065567,0.1055,4.0236898047474625
4,0.5549,1.2749714657140616,0.1125,4.268659517026176
5,0.5716,1.2158471536331665,0.1095,4.407765511887523
6,0.5904,1.1561106692868681,0.1183,4.493038423526021
7,0.6021,1.125721172593272,0.113,4.663583458422091
8,0.6171,1.0879717591090705,0.1187,4.685624031974865
9,0.6323,1.0555051140510998,0.1187,4.789594894780899
10,0.6335,1.0366405606650697,0.1181,4.944328578516317
11,0.6453,1.0050815875157,0.1213,4.933970487917574
12,0.6528,0.9852080280407549,0.1151,5.062645561017168
13,0.6621,0.9621140652190382,0.1163,5.1181276476802156
14,0.6679,0.9401767684247928,0.1165,5.163768526845085
15,0.6731,0.9241947847814225,0.1174,5.169928314586798
16,0.6822,0.9077765908294593,0.112,5.305221301679032
17,0.6875,0.8945522036034459,0.1169,5.296970860264934
18,0.6921,0.8813234618106208,0.1177,5.338368222355462
19,0.1521,2.268853068732606,0.9572,0.2795610142211183
20,0.6983,0.8775137919016158,0.1167,3.5976040241436458
21,0.1918,1.9360225124481005,0.9438,0.32094952511711244
22,0.7005,0.8635714790120292,0.1302,3.2228879471556446
23,0.2674,1.6988640677052946,0.9222,0.3599504634690361
24,0.7082,0.8592977423827869,0.1574,2.7890309327707503
25,0.3445,1.5781053974986456,0.9261,0.3254029389006642
26,0.7126,0.8395556317160304,0.1923,2.4892650092371738
27,0.4107,1.4688289946260544,0.9343,0.26880893330223643
28,0.7147,0.8360165044332084,0.2649,2.0856798521626874
29,0.4931,1.3179957139225433,0.9367,0.2475614343017054
