epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1,,0.0,
1,0.4628,1.559264132390007,0.0941,3.1854486655884275
2,0.4851,1.4753432565222915,0.0966,4.18440529256583
3,0.5251,1.3442487463402673,0.0969,4.201028501644683
4,0.5523,1.2745854294719026,0.0967,4.436223947202055
5,0.5725,1.213906476672846,0.1003,4.614743927416329
6,0.5876,1.1612724399033445,0.1064,4.694184237775711
7,0.6009,1.1230720744346276,0.109,4.812042790099074
8,0.6156,1.0874179757822056,0.1058,4.96848678360351
9,0.6252,1.0617181096975796,0.1107,4.950245238721561
10,0.6369,1.0247335919556908,0.1077,5.092986779471937
11,0.6423,1.0035841950593285,0.1123,5.0969101247696065
12,0.6492,0.9842048472108932,0.1121,5.246764349099546
13,0.6607,0.960958613660008,0.1098,5.28619610082608
14,0.6654,0.943375612600162,0.1092,5.316745614853149
15,0.6731,0.929089599238417,0.1118,5.389350649647819
16,0.6774,0.9137799624627391,0.1072,5.429300705845744
17,0.685,0.8960223766371084,0.1102,5.554321896915619
18,0.689,0.8850758297565265,0.1111,5.481835118497903
