epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.5339,0.5339,0.5339,0.5339,2.294620043153216
1,0.6661,0.6661,0.6661,0.6661,2.272198478127741
2,0.7041,0.7041,0.7041,0.7041,2.2275978516621193
3,0.7219,0.7219,0.7219,0.7219,2.151561737060547
4,0.7333,0.7333,0.7333,0.7333,2.0519772752834733
5,0.7409,0.7409,0.7409,0.7409000000000001,1.9466912138993573
6,0.7473,0.7473,0.7473,0.7473000000000001,1.8571221296954308
7,0.7561,0.7561,0.7561,0.7561,1.791615188501443
8,0.7848,0.7848,0.7848,0.7848,1.7431239299713426
9,0.8081,0.8081,0.8081,0.8081,1.707807890928475
10,0.8256,0.8256,0.8256,0.8256,1.6806297006121107
11,0.8424,0.8424,0.8424,0.8424000000000001,1.6559170492135795
12,0.858,0.858,0.858,0.858,1.6342324527205936
13,0.8732,0.8732,0.8732,0.8732,1.615061373467658
14,0.8908,0.8908,0.8908,0.8908000000000001,1.5954748551557019
15,0.9047,0.9047,0.9047,0.9047,1.579953614313891
16,0.9157,0.9157,0.9157,0.9157,1.5656165393294803
17,0.9225,0.9225,0.9225,0.9225,1.5570646030887676
18,0.9273,0.9273,0.9273,0.9273,1.54766981616901
19,0.9316,0.9316,0.9316,0.9316,1.5411243757624535
