epoch,test_acc,test_loss
0,0.5845,2.2788631673071795
1,0.6736,2.1873847071532233
2,0.7195,2.0124933742413855
3,0.734,1.8551246307458087
4,0.7438,1.765441599924853
5,0.7505,1.719759309367769
6,0.7559,1.6974761410123984
7,0.7596,1.6849867545875015
8,0.7633,1.6785082171677024
9,0.7654,1.6766904941789664
10,0.7683,1.6732968069185876
11,0.7695,1.6747970930330314
12,0.7724,1.672406211780135
13,0.772,1.6756512852990704
14,0.7728,1.6754902381046561
15,0.7754,1.6727460698716958
16,0.7766,1.670705153683948
17,0.7766,1.6711941881544272
18,0.7778,1.6709249535943294
19,0.7773,1.6719799254350602
