epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.5504,0.5504,0.5504,0.5504,2.292241462476694
1,0.6354,0.6354,0.6354,0.6354,2.2632618740106083
2,0.7046,0.7046,0.7046,0.7046,2.18493479072668
3,0.7281,0.7281,0.7281,0.7281,2.056774710394015
4,0.7419,0.7419,0.7419,0.7419000000000001,1.927944165885828
5,0.7487,0.7487,0.7487,0.7487,1.8334524616314347
6,0.7539,0.7539,0.7539,0.7539000000000001,1.7765602594727923
7,0.7567,0.7567,0.7567,0.7567,1.7444234592899395
8,0.7586,0.7586,0.7586,0.7586,1.72641525222997
9,0.7607,0.7607,0.7607,0.7607,1.7155145285235849
10,0.7614,0.7614,0.7614,0.7614,1.7101509077533794
11,0.7634,0.7634,0.7634,0.7634,1.704713156268855
12,0.7647,0.7647,0.7647,0.7646999999999999,1.7015591616843158
13,0.7669,0.7669,0.7669,0.7669,1.698666023600633
14,0.7673,0.7673,0.7673,0.7673,1.6972309593941755
15,0.7677,0.7677,0.7677,0.7677,1.6971743942066362
16,0.7677,0.7677,0.7677,0.7677,1.6961149402484772
17,0.7684,0.7684,0.7684,0.7684,1.6938411490932392
18,0.769,0.769,0.769,0.769,1.6929726213406606
19,0.7695,0.7695,0.7695,0.7695,1.692107095839871
