epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.2491,2.0111613189831328,0.0468,3.085540824804824
1,0.3382,1.7891486677498862,0.0632,3.6955296102042396
2,0.3771,1.688728749180754,0.0691,3.6559617351800107
3,0.42,1.5863879823837037,0.1029,3.5174478928501993
4,0.4423,1.522953899142841,0.0973,3.406727645343866
5,0.4579,1.483909650732534,0.09,3.896338818553157
6,0.4746,1.4445036485934029,0.1268,3.4872924908281515
7,0.4739,1.4516794315923136,0.079,3.87947278129407
8,0.4992,1.3835319830967596,0.1265,3.553322838518185
9,0.4998,1.3835099585140094,0.1079,3.6073024958467332
10,0.5144,1.3444594527585818,0.1148,3.503928449588081
11,0.5125,1.3360107994308106,0.0902,3.614893301607321
12,0.5222,1.321402496994494,0.1294,3.4462365319553654
13,0.5388,1.2936223370198625,0.1374,3.3760301465043625
14,0.5353,1.2873500968320681,0.1103,3.9748197317885134
15,0.5416,1.278251987867081,0.1223,3.3267457035783763
16,0.5469,1.2693099729931012,0.1072,3.6765848417251634
17,0.5535,1.2419831276701663,0.1112,3.5951710128174805
18,0.5527,1.256161773928438,0.0999,3.7399564223548474
19,0.4719,1.4531842580618568,0.4932,1.218213236750886
20,0.5029,1.4128680731922674,0.2131,2.1602760599063227
21,0.5143,1.3595431245173129,0.4926,1.2721125955779713
22,0.5321,1.3137316941834105,0.4132,1.4701152998037612
23,0.527,1.3452507668790725,0.632,0.9770832949172193
24,0.5072,1.4031881381528446,0.6731,0.9213202315778397
25,0.5649,1.2387466247851096,0.8418,0.5481629849622806
26,0.5354,1.3116815400580628,0.8819,0.4759234558469571
27,0.5396,1.2868414724977633,0.9135,0.35407691441785794
28,0.5526,1.2628949583528903,0.9477,0.2821194888494266
29,0.5706,1.2068312598493534,0.922,0.3310062469670567
