epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.499,0.499,0.499,0.499,2.2940612720076445
1,0.7767,0.7767,0.7767,0.7767,2.251008252429355
2,0.8147,0.8147,0.8147,0.8147,2.1527567927245124
3,0.8308,0.8308,0.8308,0.8308,2.0035806400760725
4,0.8378,0.8378,0.8378,0.8378,1.8572132412795048
5,0.854,0.854,0.854,0.854,1.748441936104161
6,0.88,0.88,0.88,0.88,1.6774749323061318
7,0.9021,0.9021,0.9021,0.9021,1.6280908220133203
8,0.9168,0.9168,0.9168,0.9168,1.5941710320247966
9,0.9249,0.9249,0.9249,0.9249,1.570611623442097
10,0.9329,0.9329,0.9329,0.9329,1.5539569315636994
11,0.9392,0.9392,0.9392,0.9392,1.5421619734187035
12,0.9425,0.9425,0.9425,0.9425,1.5333994702928384
13,0.947,0.947,0.947,0.9469999999999998,1.5265810094821226
14,0.9502,0.9502,0.9502,0.9502,1.5215349751672926
15,0.9525,0.9525,0.9525,0.9525,1.517128886690565
16,0.9541,0.9541,0.9541,0.9541,1.5139365856814537
17,0.956,0.956,0.956,0.956,1.5107010678880533
18,0.9583,0.9583,0.9583,0.9583,1.5083573714942689
19,0.9604,0.9604,0.9604,0.9604,1.506352280355563
