epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.2929,1.9483800802748805,0.0731,3.0743567166617884
1,0.367,1.7541718543908846,0.089,3.5303877923435296
2,0.3914,1.673969540733118,0.0934,3.728519644600134
3,0.4162,1.6104167231355613,0.0696,4.078180617036911
4,0.438,1.5508158233599922,0.0699,4.1279178183680525
5,0.4608,1.4805461770048538,0.0953,4.162428497887267
6,0.4757,1.446281759883649,0.0948,4.2873271067683305
7,0.4878,1.409490185423781,0.0975,4.0578358653254405
8,0.4996,1.3812909112951626,0.1022,4.135685006650492
9,0.5095,1.3560520166787096,0.1117,4.04996590949476
10,0.5194,1.3393916329636741,0.0965,4.33338517655199
11,0.5161,1.3498355769120847,0.0902,4.2254116687530905
12,0.5227,1.3147061383381438,0.1111,3.7102999412975373
13,0.5418,1.2785164251114234,0.12,3.9776563141673518
14,0.5401,1.2822745785164757,0.103,4.094199476150659
15,0.5497,1.2620447218989412,0.1111,4.051061888472341
16,0.5542,1.235782048191887,0.1045,4.050932327398477
17,0.5577,1.2235744188007074,0.0919,4.067161457226299
18,0.5688,1.2068701588307706,0.1005,3.934087012903378
19,0.5738,1.1975825882186524,0.1034,3.4749900068337927
20,0.5773,1.2002351177386201,0.1161,3.385077062125404
21,0.5699,1.2094032507354078,0.1458,3.2008696866873354
22,0.5895,1.1552704924973436,0.1116,3.2256244798056994
23,0.588,1.1618744422452518,0.1165,3.3129056833041743
24,0.5917,1.1536892041230735,0.1217,3.20513181488354
25,0.5981,1.1400351535778839,0.0929,3.4640831863537382
26,0.5955,1.1479178766092173,0.1266,3.228339634002588
27,0.5983,1.1298999622607002,0.1138,3.3041502187808103
28,0.603,1.1337683172271655,0.1191,3.280450773696168
29,0.6092,1.1116355682333436,0.1374,3.103244636005487
