train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.2788135390291844,0.1135,2.292989281332417,1.0,1.7470887428636004,0
2.230833138992537,0.1779,2.246497096529432,0.9225,1.8926238413828953,1
2.0850807954507595,0.6741,1.8503537140074808,0.1771,2.2655520302474876,2
1.8090230783165644,0.7923,1.6893715023235152,0.1619,2.2874747993080478,3
1.7435933908165644,0.8086,1.6655371500428315,0.1253,2.3271936899537495,4
1.7270178561017457,0.8211,1.6475648219418373,0.1413,2.313016015253249,5
1.7167170998384196,0.8228,1.6447780314524463,0.1669,2.2871126004844715,6
1.7088146738406182,0.8184,1.648053737203027,0.2419,2.211702819083147,7
1.6983374491937633,0.8343,1.635347370129482,0.2674,2.1860758908994637,8
1.6744976897737873,0.8353,1.633871729206887,0.7809,1.6805035080879358,9
1.629780263026386,0.8399,1.6281441708279263,0.9875,1.479555409425383,10
1.6130852607775852,0.8495,1.6173865855879086,0.9966,1.4668886031314825,11
1.6073674769289712,0.8539,1.6127598095851339,0.9976,1.4651956573413436,12
1.6026391393340218,0.8556,1.6116084824701784,0.9991,1.4638762307015194,13
1.5989308306403252,0.8587,1.6064953712900734,0.998,1.465463549468168,14
1.59612464498101,0.8593,1.6069213273418936,0.9973,1.4669650041373672,15
1.593054927996735,0.8657,1.5999961324558136,0.9992,1.4633564842734368,16
1.590506807827492,0.8652,1.598762269232683,1.0,1.4616651094643174,17
1.588022325593017,0.8689,1.5966263842430843,1.0,1.4617866118242786,18
1.5859882541811035,0.8692,1.5960160182539824,0.9995,1.463211450607154,19
1.5841221921225346,0.8731,1.5919932650912338,1.0,1.461946833665204,20
1.5823495698127665,0.8701,1.5943616248999433,0.9997,1.4622949566810755,21
1.567793661089086,0.9338,1.535893646774778,0.9999,1.4619824362408584,22
1.5210329230660316,0.9464,1.5228260421449211,1.0,1.4619168939104505,23
1.5150124360757595,0.9488,1.5187203922089498,1.0,1.461921205945835,24
1.511190255821895,0.9473,1.5202171407687437,0.9994,1.4628290833940931,25
1.5083575218216951,0.9566,1.510104203679759,1.0,1.461317927974045,26
1.5057855862290113,0.9524,1.5155029410769225,0.9987,1.4636861184600052,27
1.5035771286563833,0.9603,1.5050931052797158,0.9998,1.4615464028279492,28
1.5019039324860075,0.9621,1.5046615061486603,0.9998,1.4621879029425846,29
1.500142632262793,0.9652,1.5010795950130293,0.9998,1.4623099952746348,30
1.4984820595682302,0.9651,1.500342668241756,1.0,1.4612996798412057,31
1.4973334534081824,0.9669,1.4997078347357975,1.0,1.4614550406765785,32
1.495923137868137,0.9659,1.4989916420286629,1.0,1.4614169536882144,33
1.4948306215851546,0.9697,1.4967322174910527,0.9992,1.4626703520489346,34
1.4938821690931503,0.97,1.4947353419224927,1.0,1.4614135664739427,35
1.4927697415545043,0.9687,1.4961873702942186,0.9996,1.4617408286234377,36
1.4921707120785581,0.9701,1.4944338995939608,0.9994,1.462044737900898,37
1.491102792052572,0.9701,1.4936661735461776,0.9996,1.4619390911357417,38
1.490395356851346,0.9702,1.4934329083011408,1.0,1.4613844452390246,39
1.4896219412146856,0.9696,1.495026271054699,0.9999,1.461329867885371,40
1.4888876973947227,0.9668,1.4971612084443402,1.0,1.461306090567522,41
1.4882671949960022,0.9715,1.4916664627706928,0.9997,1.4614697740336133,42
1.487437819621202,0.9721,1.491361098684323,0.9997,1.4617515977021236,43
1.4868230433352212,0.9681,1.4962347328283225,0.9996,1.4618241748992045,44
1.4865355664478945,0.9723,1.4912895024961728,0.9994,1.4621175649059805,45
1.4857583767823828,0.9698,1.4952835262201394,0.9992,1.4628057479858398,46
1.4850538046375266,0.9726,1.4919624260276745,0.9999,1.4612619216275062,47
1.4847794717817164,0.9733,1.49050010997019,0.9998,1.461516580763896,48
1.4838807323594083,0.9755,1.4889255443196387,0.9998,1.4615691528198824,49
1.4836165503398189,0.9709,1.4930651074002503,0.9997,1.4617204726881283,50
1.4831241046441899,0.9715,1.4918465842107298,0.9994,1.4622104031265162,51
1.482732516616138,0.9764,1.4875570550845687,0.9998,1.461618175931797,52
1.482231742029251,0.9754,1.4885891136849763,0.9999,1.4615267803714533,53
1.4816495004747468,0.9752,1.4885540684317327,0.9997,1.4618497798397283,54
1.481145602553638,0.9774,1.4858837461775276,0.9998,1.4616016103963183,55
1.4808733519206423,0.977,1.4862124616173422,0.9993,1.4623791609600092,56
1.480697664370669,0.9772,1.4862821671613462,0.9999,1.4614745887221805,57
1.480069353636394,0.9775,1.4858795973905332,0.9997,1.4616981851067512,58
1.4798245623167643,0.9777,1.4865386508832312,0.9997,1.4617586652184749,59
1.4794778722181503,0.9773,1.4853922075526729,0.999,1.4630061881557392,60
1.4791261067014259,0.9785,1.484774193186669,0.9995,1.461852404721983,61
1.4789644741554504,0.9786,1.4853406180242064,0.9991,1.4623081638554858,62
1.4786660655983475,0.9781,1.4851230549964176,0.9998,1.4616170772321664,63
