train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
1.4783912121868337,0.9785,1.4844981226951453,0.9999,1.4616513928030705,64
1.4779545960904183,0.9785,1.485375827285135,0.9997,1.4615180864455595,65
1.4776718042044243,0.9789,1.4845258225301268,0.9995,1.4622359769359516,66
1.4774313074693497,0.9793,1.4841581157817962,0.9998,1.461714014126237,67
1.477161659614872,0.9779,1.4848548804119135,0.9995,1.4621064009939788,68
1.476848415220216,0.9777,1.4864234316880536,0.9987,1.4629531453369529,69
1.476730379214419,0.9801,1.4835851382298075,0.9997,1.4615412031768993,70
1.4764129703741338,0.9794,1.483796903282214,0.999,1.462886568087681,71
1.4761585487739872,0.9802,1.483180054433786,0.9997,1.4616675012430567,72
1.4760988150069962,0.9796,1.4836938350823274,0.9993,1.4624210186065383,73
1.4756818498883928,0.9802,1.4840371153157228,0.9996,1.4618291368909702,74
1.4755252927605278,0.9795,1.4835425881063862,0.9993,1.4621455874412683,75
1.475423654259395,0.9724,1.4907579444775916,0.9998,1.4614162399510668,76
1.4752812822744537,0.9809,1.4822696887763442,0.9993,1.4622372753301245,77
1.4749660857959088,0.9794,1.4829924987379912,0.9998,1.4615373277360466,78
1.4745876417993737,0.9805,1.4816972123589485,0.9994,1.4623825329883842,79
1.4745928473564098,0.9803,1.482688391284578,0.9985,1.463059344868751,80
1.4743186446395256,0.9804,1.4825412589273634,0.9997,1.4616657510684554,81
1.4740949358258928,0.9805,1.4823584769182145,0.9996,1.4617472985747513,82
1.4741533682036247,0.9804,1.481739166435922,0.9995,1.4618396591988339,83
1.4738558706190032,0.9801,1.4825689481322173,0.9986,1.4631665185758262,84
1.4735087901036115,0.9807,1.4823450055092005,0.9996,1.4618271414641362,85
1.4736669088985874,0.9802,1.4818013048475716,0.9994,1.4620802964374517,86
1.4735034544076493,0.9811,1.4813303818368608,0.9991,1.4623078160984502,87
1.4732574918376866,0.9812,1.4817686377057604,0.9996,1.4617802405812939,88
1.4730807631763059,0.9808,1.4819116607593124,0.9996,1.4617058084269239,89
1.4729619463369537,0.9803,1.48183604486429,0.9991,1.4624272934190787,90
1.472853150194896,0.9802,1.4823424375740586,0.9995,1.4618100725161802,91
1.4726972437616606,0.9802,1.4824595519691517,0.9996,1.4617815313825182,92
1.4726208522121536,0.9808,1.4815020690298384,0.9996,1.4616591322953534,93
1.4723444371335288,0.9816,1.4810046899090907,0.9996,1.4617370207598255,94
1.472261018082023,0.9821,1.480343883204612,0.9994,1.4620768932779884,95
1.4720173980127265,0.9813,1.4805057663826426,0.9988,1.462370252912971,96
1.4719830413362873,0.9816,1.4811475079530363,0.9996,1.461854746387263,97
1.471994623700693,0.9809,1.481177220678633,0.9995,1.4620245156014802,98
1.471878149362007,0.9806,1.4819378602276942,0.9997,1.461537598045009,99
