epoch,test_acc,test_loss
0,0.0319,6.021174444580078
1,0.2683,4.138383397674561
2,0.457,2.611472292327881
3,0.5156,1.7956417709350585
4,0.5471,1.4525400148391723
5,0.5699,1.2837371887207032
6,0.5811,1.2115950691223145
7,0.5908,1.1783728492736816
8,0.6033,1.1409140876770019
9,0.6189,1.0947153825759888
10,0.6288,1.0663166696548463
11,0.6331,1.0645114028930664
12,0.6409,1.033366048336029
13,0.6487,1.0067505084991455
14,0.6546,0.9908825617790222
15,0.6602,0.9799346632003784
16,0.6735,0.9490167066574097
17,0.6801,0.9230160219192505
18,0.6843,0.9127032906532287
19,0.6883,0.9082257060050964
