epoch,clean_acc,clean_loss,poisoned_acc,poisoned_loss
0,0.2272,2.1629209198509924,0.0577,2.4232676707136744
1,0.3463,1.9591721875218158,0.1178,2.4081520699083616
2,0.4373,1.7753996201597464,0.1251,2.5104731698386584
3,0.5101,1.6014491970927571,0.1199,2.6750514301629114
4,0.5526,1.4557053193497582,0.1139,2.881330144291107
5,0.5841,1.3358012826297991,0.1109,3.121513368984381
6,0.602,1.2396613302322241,0.1118,3.3544337315300403
7,0.616,1.1615346333089347,0.109,3.629613201458233
8,0.6284,1.1022109021774877,0.1079,3.9042952708162058
9,0.6393,1.0559773803138124,0.1094,4.137409396064929
10,0.6499,1.0189308337510203,0.1088,4.361092437189608
11,0.6569,0.9912155988498237,0.1071,4.577690893087905
12,0.664,0.9671189795477322,0.1048,4.7547443271064145
13,0.6699,0.9488241266899596,0.1072,4.8757924926928435
14,0.6753,0.9315496705972348,0.1072,4.993582836736125
15,0.681,0.9138723011024463,0.1078,5.084991579238599
16,0.6853,0.8974176468178868,0.1067,5.178955133730611
17,0.6915,0.8826601097758967,0.1088,5.230626115402855
18,0.6972,0.8692930242695367,0.1101,5.306090147731403
19,0.7011,0.8567497730255127,0.1078,5.392441933147443
20,0.7069,0.8453323361210929,0.1068,5.4646433466158735
21,0.7106,0.8339079726999179,0.1055,5.525470515790458
22,0.7135,0.8247362056288856,0.1064,5.581500700868356
23,0.7192,0.8128101120170313,0.107,5.6100003003312375
24,0.7228,0.8048842708333231,0.1076,5.666306946605158
25,0.7259,0.7974462673877375,0.107,5.686158962523975
26,0.728,0.7896879462959667,0.1052,5.757870305460482
27,0.7299,0.7823670277008995,0.1058,5.78365125290502
28,0.7315,0.7757406977418894,0.1052,5.833635144340344
29,0.7346,0.7701169158132694,0.1116,4.4735678910447385
30,0.7378,0.7709893107223815,0.1174,3.627414791728742
31,0.7393,0.7659398333523602,0.1234,3.232156322406123
32,0.7411,0.7630735658609067,0.1285,3.081575857564664
33,0.7431,0.7515944029195621,0.1317,3.00035050882699
34,0.7472,0.7425088054075027,0.1385,2.9295863130222113
35,0.7497,0.7337972520829771,0.142,2.8604856466713806
36,0.753,0.7237997464478587,0.1497,2.783732362448598
37,0.7546,0.7223423944113735,0.1668,2.5691099608668124
38,0.7566,0.7116636710997206,0.1897,2.452903888476923
39,0.7599,0.7074222929371051,0.2474,2.1410745507992877
