epoch,clean_acc,clean_loss,poisoned_acc,poisoned_loss
0,0.2423,2.084517545593432,0.0898,2.390082813299502
1,0.3632,1.9020710935988747,0.1199,2.3934647979827735
2,0.4665,1.7270923102625644,0.1087,2.4939315349530107
3,0.5256,1.565476776692814,0.1016,2.6681072148271263
4,0.5614,1.4237750696298033,0.102,2.8615478402890338
5,0.589,1.3074847627371644,0.1032,3.109037083939622
6,0.6068,1.2186840858322363,0.1037,3.3524584214146524
7,0.624,1.14602892372174,0.1037,3.6050359837163373
8,0.6345,1.090582377613543,0.1012,3.8839908308876208
9,0.6422,1.0518217972292305,0.1045,4.105399109685002
10,0.6516,1.0189700021911352,0.1031,4.33519063818569
11,0.6606,0.9867807379165016,0.1021,4.537963079568296
12,0.6668,0.9650037391498066,0.1033,4.705507658541012
13,0.6707,0.9464402635828756,0.1031,4.859085006835742
14,0.6755,0.9276758919889554,0.104,4.972434212224552
15,0.6803,0.9126359377615749,0.1043,5.099271073508948
16,0.6879,0.8977591699114242,0.1021,5.18388145038495
17,0.6937,0.8837668251115293,0.1022,5.284531945237718
18,0.6989,0.87120609761427,0.1012,5.372519750564624
19,0.7019,0.8600876894050513,0.1024,5.405174974435434
20,0.7055,0.8471802294063873,0.1031,5.46867715741118
21,0.708,0.8362696763044729,0.1044,5.537453352833708
22,0.7106,0.8255278596672387,0.1032,5.626793477481927
23,0.7132,0.8150631124600054,0.1035,5.64684781175071
24,0.7163,0.805536150932312,0.1039,5.6823110473803435
25,0.7184,0.7972627628725558,0.1038,5.731080267756892
26,0.7213,0.7895645697276813,0.1033,5.772612637224289
27,0.724,0.7823488770391994,0.1042,5.786543512496705
28,0.7269,0.7776873551618558,0.1047,5.847333129602499
29,0.7321,0.783242183561904,0.1175,3.6165397768965164
30,0.7301,0.805045593184785,0.1359,2.529450773050229
31,0.738,0.7833623191038259,0.1344,2.545271819011091
32,0.7368,0.7748927904394107,0.162,2.330863568729486
33,0.7463,0.7579216223936112,0.1978,2.201476041120462
34,0.7497,0.7407176221331088,0.3436,1.6839320227360954
35,0.7468,0.7492190762259328,0.6417,0.9222941103453834
36,0.7567,0.7229111823982324,0.7554,0.6376913127522118
37,0.7588,0.7086453010289433,0.8763,0.34229613145509846
38,0.759,0.6957764520336644,0.923,0.22639394207551075
39,0.7628,0.689569212567692,0.9483,0.1580295382906644
