epoch,test_clean_acc,test_clean_loss,test_bta,test_asr_loss
0,0.1,,0.0,
1,0.4608,1.5553010957309614,0.0899,3.2435750062473283
2,0.4795,1.463454538069594,0.0873,4.291039424963271
3,0.529,1.3392518478841446,0.0956,4.22545543341591
4,0.5508,1.2721224404371585,0.0935,4.525512846133199
5,0.568,1.2134965166878016,0.1034,4.606069551108363
6,0.5877,1.1614957842202231,0.0998,4.76723325290619
7,0.6047,1.1253372457461617,0.1057,4.868639738034136
8,0.6158,1.0912171870755691,0.1106,4.977860926820067
9,0.6263,1.0571045654650313,0.1059,5.084835094384873
10,0.6336,1.0353457052677204,0.1042,5.180031651506028
11,0.6444,1.002861800285193,0.1054,5.255071434350059
12,0.6554,0.9823149624533547,0.1081,5.270607688556464
13,0.6614,0.9624159743610662,0.1048,5.370488051027536
14,0.6695,0.9420498460055159,0.1054,5.493135107972751
15,0.6729,0.9260098477141164,0.1089,5.446433469510307
16,0.682,0.9072749712787116,0.1081,5.545092987938049
17,0.6823,0.8984777918829324,0.1072,5.641659428898138
18,0.6882,0.883487882419897,0.1086,5.642129479886624
19,0.104,4.378067164375378,0.9974,0.05937897510374316
20,0.6564,1.0113651327812634,0.0435,7.373757627444526
21,0.1,6.6750367837972915,1.0,0.006210645835566968
22,0.5923,1.5738729882164124,0.001,11.43981141404222
23,0.1,,0.0,
24,0.1,,0.0,
25,0.1,,0.0,
26,0.1,,0.0,
27,0.1,,0.0,
28,0.1,,0.0,
29,0.1,,0.0,
