epoch,test_acc,test_loss
0,0.7185,2.2534996369841753
1,0.7499,2.056916894426771
2,0.7599,1.8625441561838625
3,0.7632,1.7703219120669518
4,0.7854,1.718615137088071
5,0.8205,1.6795013922794608
6,0.8384,1.651745941988222
7,0.8482,1.6381526213542672
8,0.8544,1.6286968038340284
9,0.8575,1.6228140486273797
10,0.8596,1.619074409175071
11,0.8628,1.614958916500116
12,0.8638,1.6138761590240867
13,0.8648,1.6146831292255668
14,0.8653,1.6125995634467738
15,0.8675,1.609694734500472
16,0.868,1.6085995762211502
17,0.8695,1.6081242971359544
18,0.8701,1.6062958840351955
19,0.8714,1.6055551235842858
