epoch,test_acc,test_loss
0,0.2825,2.3004944582653652
1,0.4144,2.2971166000244723
2,0.5632,2.292595526215377
3,0.7152,2.2864085549761537
4,0.7982,2.2785666793774646
5,0.8515,2.2688024697030427
6,0.8862,2.256545466222581
7,0.9094,2.2418657822214114
8,0.9222,2.224171565596465
9,0.9333,2.2032227379501244
10,0.9407,2.1786829134461225
11,0.9448,2.1508759207026973
12,0.9503,2.118589322278454
13,0.9546,2.0826636681890793
14,0.9577,2.0450683186767966
15,0.9595,2.004568559348963
16,0.9612,1.962434669968429
17,0.9626,1.9205220725126326
18,0.9648,1.8790033007882962
19,0.9669,1.8392891101776414
