epoch,test_acc,test_loss
0,0.4466,2.293145091670334
1,0.63,2.267561780419319
2,0.657,2.218427150872103
3,0.6808,2.1358514485085847
4,0.7034,2.030977804190034
5,0.7246,1.9331893799411264
6,0.7379,1.8535512412429616
7,0.7453,1.7976070900631558
8,0.7497,1.7606215613662817
9,0.7534,1.735435438004269
10,0.7549,1.7206295333850157
11,0.7583,1.7103683447382252
12,0.7601,1.70262397778262
13,0.7616,1.6991437643196932
14,0.7638,1.6976341776027801
15,0.7653,1.695041471985495
16,0.766,1.6934198368886473
17,0.7667,1.6938916573858565
18,0.7675,1.691917273648985
19,0.7672,1.6916082224268822
