epoch,test_acc,test_loss
0,0.3492,2.2938508577407544
1,0.7388,2.250837380719033
2,0.7998,2.1511685650819428
3,0.8178,2.0018160487436187
4,0.8248,1.85807009791113
5,0.8308,1.7577218060280866
6,0.8433,1.6939198568368414
7,0.863,1.650920394879238
8,0.8854,1.6195677055674753
9,0.9028,1.5927618878662206
10,0.9141,1.5741357962796643
11,0.9219,1.5599202115064974
12,0.929,1.54814889248769
13,0.9335,1.539675348123927
14,0.9379,1.5334911817198347
15,0.9411,1.5281104191093688
16,0.945,1.5237888811500209
17,0.9477,1.5200019550930923
18,0.9493,1.5165854001500805
19,0.9517,1.5142451274167201
