epoch,test_acc,test_loss
0,0.4782,2.2959622607868946
1,0.6568,2.282125037187224
2,0.673,2.2577246419943062
3,0.6681,2.219154213644137
4,0.6656,2.165191987517533
5,0.6766,2.093390653087835
6,0.6925,2.0143367241901955
7,0.718,1.9354176597230752
8,0.7307,1.867465582622844
9,0.7506,1.8114015106942243
10,0.7671,1.7665247780502222
11,0.7801,1.7328556798825598
12,0.7914,1.7062767075884873
13,0.8159,1.6848293960474099
14,0.8058,1.6704555484139996
15,0.8149,1.6578892795902909
16,0.8144,1.6492025206802756
17,0.8161,1.6418565147241968
18,0.8183,1.63479527546342
19,0.8229,1.6298596418587266
