epoch,acc,loss
0,0.69,7.128735739898682
1,4.760000000000001,5.621497415924073
2,19.03,4.481635077667236
3,40.04,3.4039270050048827
4,51.82,2.520888132858276
5,57.32000000000001,1.898341387939453
6,61.31999999999999,1.492530039215088
7,63.51,1.2628918003082275
8,65.49000000000001,1.1105542448043824
9,66.74,1.020672382545471
10,67.74,0.9660631711959838
11,68.86,0.9225315460205078
12,69.85,0.8917938456535339
13,70.65,0.8630347829818725
14,70.97,0.8450979748725891
15,71.41999999999999,0.8298827689170838
16,71.64,0.8224145349502563
17,71.97,0.8199304311752319
18,72.27,0.8083997772216797
19,72.63,0.8001859342575073
